wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;&_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;5132;5018;56,7448;55,4843
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1985;1924;57,2376;55,4787
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6879;6686;57,0493;55,4487
14;mazowieckie;1462;Płock;1462011;Płock;;118268;67182;65544;56,8049;55,4199
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;26314;25568;56,9592;55,3444
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;22069;21330;57,2537;55,3365
28;warmińsko-mazurskie;2803;działdowski;2803011;Działdowo;Ciechanowski;21145;12011;11696;56,803;55,3133
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;97757;94677;57,0847;55,2862
8;lubuskie;811;żarski;811011;Łęknica;Zielonogórski;2396;1364;1324;56,9282;55,2588
24;śląskie;2477;Tychy;2477011;Tychy;;126871;72265;70073;56,9594;55,2317
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9490;9266;56,5655;55,2304
26;świętokrzyskie;2602;jędrzejowski;2602023;gm.m-w. Jędrzejów;Kielecki;27715;15697;15306;56,6372;55,2264
24;śląskie;2402;bielski;2402022;gm.w Bestwina;Katowicki;11950;6764;6599;56,6025;55,2218
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;13168;12811;56,7439;55,2056
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;38444;37299;56,8951;55,2005
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;7030;6836;56,753;55,1869
30;wielkopolskie;3030;wrzesiński;3030033;gm.m-w. Nekla;Poznański;7617;4319;4203;56,7021;55,1792
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;14870;14337;57,122;55,0745
12;małopolskie;1213;oświęcimski;1213072;gm.w Polanka Wielka;Bielski;4318;2437;2378;56,4382;55,0718
4;kujawsko-pomorskie;412;rypiński;412011;Rypin;Włocławski;15999;9057;8809;56,6098;55,0597
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;99906;97438;56,4284;55,0345
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;9987;9703;56,6221;55,0119
30;wielkopolskie;3005;grodziski;3005012;gm.w Granowo;Poznański;5087;2899;2796;56,9884;54,9636
4;kujawsko-pomorskie;407;inowrocławski;407063;gm.m-w. Kruszwica;Bydgoski;19012;10730;10447;56,438;54,9495
22;pomorskie;2203;człuchowski;2203011;Człuchów;Słupski;13479;7625;7402;56,5695;54,9151
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;28316;27426;56,691;54,9091
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;7012;6865;56,0736;54,898
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;9330;9008;56,8244;54,8633
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;25923;25406;55,9638;54,8477
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10583;10211;56,8093;54,8124
30;wielkopolskie;3011;kościański;3011023;gm.m-w. Czempiń;Poznański;11531;6502;6320;56,3871;54,8088
24;śląskie;2461;Bielsko-Biała;2461011;Bielsko-Biała;;169756;95610;93003;56,322;54,7863
4;kujawsko-pomorskie;402;brodnicki;402011;Brodnica;Toruński;28701;16152;15711;56,2768;54,7403
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;37146;36252;56,0525;54,7035
30;wielkopolskie;3016;obornicki;3016013;gm.m-w. Oborniki;;34185;19236;18678;56,2703;54,638
2;dolnośląskie;223;wrocławski;223092;gm.w Żórawina;Wrocławski;11406;6410;6230;56,1985;54,6204
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4303;4162;56,4476;54,5979
30;wielkopolskie;3021;poznański;3021062;gm.w Kleszczewo;Poznański;9343;5404;5100;57,8401;54,5863
12;małopolskie;1206;krakowski;1206113;gm.m-w. Skawina;;43751;24595;23882;56,2159;54,5862
10;łódzkie;1005;łowicki;1005092;gm.w Nieborów;Skierniewicki;9357;5298;5104;56,6207;54,5474
