wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaczepionych;%_zaszczepionych_pe�n�_dawk�
2;dolnośląskie;213;milicki;213022;gm.w Krośnice;Wrocławski;8093;3762;3627;46,4846;44,8165
12;małopolskie;1218;wadowicki;1218052;gm.w Mucharz;Bielski;4137;1911;1854;46,1929;44,8151
8;lubuskie;812;wschowski;812013;gm.m-w. Sława;Zielonogórski;12639;5899;5664;46,673;44,8137
2;dolnośląskie;204;górowski;204013;gm.m-w. Góra;Leszczyński;19720;9096;8834;46,1258;44,7972
24;śląskie;2403;cieszyński;2403062;gm.w Dębowiec;Bielski;5845;2681;2618;45,8683;44,7904
14;mazowieckie;1423;przysuski;1423082;gm.w Wieniawa;Radomski;5256;2420;2354;46,0426;44,7869
4;kujawsko-pomorskie;406;grudziądzki;406012;gm.w Grudziądz;Toruński;13136;6094;5881;46,3916;44,7701
16;opolskie;1602;głubczycki;1602043;gm.m-w. Kietrz;Opolski;10722;4944;4800;46,1108;44,7678
14;mazowieckie;1413;mławski;1413032;gm.w Lipowiec Kościelny;Ciechanowski;4805;2263;2151;47,0968;44,7659
6;lubelskie;604;hrubieszowski;604052;gm.w Mircze;Zamojski;6916;3174;3096;45,8936;44,7658
26;świętokrzyskie;2604;kielecki;2604092;gm.w Masłów;Kielecki;11143;5154;4988;46,2533;44,7635
2;dolnośląskie;206;karkonoski;206021;Kowary;Jeleniogórski;10650;4933;4767;46,3192;44,7606
14;mazowieckie;1434;wołomiński;1434113;gm.m-w. Tłuszcz;Ostrołęcki;20104;9390;8997;46,7071;44,7523
2;dolnośląskie;212;lwówecki;212013;gm.m-w. Gryfów Śląski;Jeleniogórski;9561;4419;4278;46,219;44,7443
14;mazowieckie;1412;miński;1412142;gm.w Stanisławów;Siedlecki;6797;3160;3041;46,4911;44,7403
4;kujawsko-pomorskie;413;sępoleński;413032;gm.w Sośno;Bydgoski;4922;2264;2202;45,9976;44,7379
4;kujawsko-pomorskie;418;włocławski;418102;gm.w Lubanie;Włocławski;4550;2102;2035;46,1978;44,7253
8;lubuskie;804;nowosolski;804052;gm.w Nowa Sól;Zielonogórski;6992;3236;3127;46,2815;44,7225
14;mazowieckie;1416;ostrowski;1416062;gm.w Nur;Łomżyński;2623;1202;1173;45,8254;44,7198
32;zachodniopomorskie;3215;szczecinecki;3215033;gm.m-w. Biały Bór;Koszaliński;5275;2443;2358;46,3128;44,7014
8;lubuskie;801;gorzowski;801022;gm.w Bogdaniec;Gorzowski;7122;3347;3183;46,9952;44,6925
16;opolskie;1607;nyski;1607013;gm.m-w. Głuchołazy;Opolski;23413;10853;10462;46,3546;44,6846
8;lubuskie;801;gorzowski;801062;gm.w Santok;Gorzowski;8854;4134;3956;46,6908;44,6804
8;lubuskie;808;świebodziński;808022;gm.w Łagów;Zielonogórski;4907;2271;2192;46,2808;44,6709
4;kujawsko-pomorskie;402;brodnicki;402032;gm.w Brodnica;Toruński;8662;3993;3869;46,0979;44,6664
32;zachodniopomorskie;3209;koszaliński;3209042;gm.w Manowo;Koszaliński;6919;3182;3090;45,9893;44,6596
24;śląskie;2417;żywiecki;2417102;gm.w Radziechowy-Wieprz;Bielski;13068;6069;5836;46,4417;44,6587
30;wielkopolskie;3007;kaliski;3007083;gm.m-w. Opatówek;Kaliski;10787;4986;4817;46,2223;44,6556
14;mazowieckie;1423;przysuski;1423042;gm.w Odrzywół;Radomski;3695;1727;1650;46,7388;44,6549
30;wielkopolskie;3008;kępiński;3008042;gm.w Łęka Opatowska;Kaliski;5329;2433;2377;45,6558;44,605
10;łódzkie;1001;bełchatowski;1001062;gm.w Rusiec;Sieradzki;5045;2294;2250;45,4708;44,5986
2;dolnośląskie;219;świdnicki;219072;gm.w Świdnica;Wałbrzyski;17400;8001;7758;45,9828;44,5862
22;pomorskie;2202;chojnicki;2202043;gm.m-w. Czersk;Bydgoski;21604;9887;9631;45,7647;44,5797
14;mazowieckie;1427;sierpecki;1427062;gm.w Szczutowo;Płocki;4245;2017;1892;47,5147;44,5701
32;zachodniopomorskie;3217;wałecki;3217043;gm.m-w. Tuczno;Pilski;4871;2282;2171;46,8487;44,5699
24;śląskie;2404;częstochowski;2404022;gm.w Dąbrowa Zielona;Częstochowski;3848;1803;1715;46,8555;44,5686
30;wielkopolskie;3017;ostrowski;3017023;gm.m-w. Nowe Skalmierzyce;Kaliski;15625;7172;6963;45,9008;44,5632
4;kujawsko-pomorskie;414;świecki;414032;gm.w Drzycim;Bydgoski;4889;2258;2178;46,1853;44,549
10;łódzkie;1011;poddębicki;1011022;gm.w Pęczniew;Sieradzki;3484;1634;1552;46,9001;44,5465
10;łódzkie;1008;pabianicki;1008072;gm.w Pabianice;Łódzki;7770;3566;3461;45,8945;44,5431
28;warmińsko-mazurskie;2803;działdowski;2803032;gm.w Iłowo-Osada;Ciechanowski;7169;3335;3193;46,5197;44,539
4;kujawsko-pomorskie;414;świecki;414042;gm.w Jeżewo;Bydgoski;8055;3696;3587;45,8845;44,5313
14;mazowieckie;1433;węgrowski;1433062;gm.w Miedzna;Siedlecki;3801;1754;1692;46,1458;44,5146
2;dolnośląskie;224;ząbkowicki;224033;gm.m-w. Kamieniec Ząbkowicki;Wałbrzyski;8003;3681;3562;45,9953;44,5083
12;małopolskie;1218;wadowicki;1218062;gm.w Spytkowice;Bielski;10312;4757;4587;46,1307;44,4822
30;wielkopolskie;3019;pilski;3019062;gm.w Szydłowo;Pilski;9341;4319;4155;46,237;44,4813
24;śląskie;2409;myszkowski;2409023;gm.m-w. Koziegłowy;Częstochowski;14348;6580;6382;45,8601;44,4801
4;kujawsko-pomorskie;414;świecki;414022;gm.w Dragacz;Bydgoski;7190;3308;3197;46,0083;44,4645
2;dolnośląskie;216;polkowicki;216032;gm.w Grębocice;Legnicki;5427;2484;2413;45,7711;44,4629
2;dolnośląskie;219;świdnicki;219043;gm.m-w. Jaworzyna Śląska;Wałbrzyski;10222;4702;4544;45,9988;44,4531
12;małopolskie;1262;Nowy Sącz;1262011;Nowy Sącz;;83558;38210;37143;45,7287;44,4518
24;śląskie;2403;cieszyński;2403103;gm.m-w. Skoczów;Bielski;26788;12254;11907;45,7444;44,449
32;zachodniopomorskie;3212;pyrzycki;3212033;gm.m-w. Lipiany;Szczeciński;5794;2691;2574;46,4446;44,4253
30;wielkopolskie;3031;złotowski;3031033;gm.m-w. Krajenka;Pilski;7524;3459;3342;45,9729;44,4179
10;łódzkie;1014;sieradzki;1014082;gm.w Sieradz;Sieradzki;10801;4950;4797;45,8291;44,4126
32;zachodniopomorskie;3212;pyrzycki;3212062;gm.w Warnice;Szczeciński;3443;1585;1529;46,0354;44,4089
24;śląskie;2407;lubliniecki;2407062;gm.w Koszęcin;Częstochowski;11810;5415;5242;45,851;44,3861
14;mazowieckie;1434;wołomiński;1434072;gm.w Klembów;Ostrołęcki;10108;4723;4486;46,7254;44,3807
14;mazowieckie;1416;ostrowski;1416011;Ostrów Mazowiecka;Ostrołęcki;22216;10455;9859;47,0607;44,3779
26;świętokrzyskie;2607;ostrowiecki;2607022;gm.w Bałtów;Kielecki;3349;1549;1486;46,2526;44,3715
14;mazowieckie;1402;ciechanowski;1402033;gm.m-w. Glinojeck;Ciechanowski;7764;3553;3445;45,7625;44,3715
22;pomorskie;2206;kościerski;2206052;gm.w Liniewo;Gdański;4609;2119;2045;45,9753;44,3697
14;mazowieckie;1407;kozienicki;1407072;gm.w Sieciechów;Radomski;3859;1793;1712;46,4628;44,3638
30;wielkopolskie;3028;wągrowiecki;3028022;gm.w Damasławek;Pilski;5304;2477;2353;46,7006;44,3627
30;wielkopolskie;3017;ostrowski;3017042;gm.w Ostrów Wielkopolski;Kaliski;19162;8772;8498;45,7781;44,3482
4;kujawsko-pomorskie;401;aleksandrowski;401082;gm.w Waganiec;Włocławski;4564;2177;2024;47,6994;44,3471
28;warmińsko-mazurskie;2812;nowomiejski;2812052;gm.w Nowe Miasto Lubawskie;Toruński;8311;3807;3685;45,8068;44,3388
26;świętokrzyskie;2604;kielecki;2604102;gm.w Miedziana Góra;Kielecki;11722;5368;5197;45,7942;44,3354
30;wielkopolskie;3007;kaliski;3007032;gm.w Ceków-Kolonia;Kaliski;4767;2198;2113;46,1087;44,3256
4;kujawsko-pomorskie;414;świecki;414063;gm.m-w. Nowe;Bydgoski;10103;4680;4478;46,3229;44,3235
10;łódzkie;1014;sieradzki;1014023;gm.m-w. Błaszki;Sieradzki;14373;6660;6369;46,3369;44,3123
6;lubelskie;612;opolski;612072;gm.w Wilków;Lubelski;4367;1971;1935;45,134;44,3096
20;podlaskie;2002;białostocki;2002093;gm.m-w. Supraśl;Białostocki;16003;7319;7090;45,7352;44,3042
2;dolnośląskie;224;ząbkowicki;224063;gm.m-w. Ziębice;Wałbrzyski;16768;7711;7428;45,9864;44,2987
30;wielkopolskie;3031;złotowski;3031062;gm.w Tarnówka;Pilski;2969;1372;1315;46,2108;44,291
16;opolskie;1604;kluczborski;1604013;gm.m-w. Byczyna;Opolski;9170;4165;4061;45,4198;44,2857
10;łódzkie;1014;sieradzki;1014102;gm.w Wróblew;Sieradzki;6063;2753;2685;45,4066;44,285
6;lubelskie;609;lubelski;609092;gm.w Krzczonów;Lubelski;4293;1956;1901;45,5625;44,2814
6;lubelskie;604;hrubieszowski;604022;gm.w Dołhobyczów;Zamojski;5265;2398;2331;45,5461;44,2735
22;pomorskie;2212;słupski;2212092;gm.w Smołdzino;Słupski;3382;1583;1497;46,8066;44,2637
20;podlaskie;2009;sejneński;2009011;Sejny;Suwalski;5159;2347;2283;45,4933;44,2528
30;wielkopolskie;3013;leszczyński;3013012;gm.w Krzemieniewo;Leszczyński;8272;3783;3660;45,7326;44,2456
26;świętokrzyskie;2604;kielecki;2604192;gm.w Zagnańsk;Kielecki;12917;5959;5715;46,133;44,244
14;mazowieckie;1406;grójecki;1406022;gm.w Błędów;Radomski;7357;3377;3255;45,9019;44,2436
12;małopolskie;1211;nowotarski;1211023;gm.m-w. Szczawnica;Nowosądecki;7145;3246;3161;45,4304;44,2407
16;opolskie;1601;brzeski;1601011;Brzeg;;35226;16225;15584;46,0597;44,24
22;pomorskie;2204;gdański;2204072;gm.w Suchy Dąb;Gdański;4248;1940;1879;45,6685;44,2326
30;wielkopolskie;3018;ostrzeszowski;3018012;gm.w Czajków;Kaliski;2505;1154;1108;46,0679;44,2315
12;małopolskie;1217;tatrzański;1217011;Zakopane;Nowosądecki;26846;12231;11874;45,5599;44,2301
2;dolnośląskie;205;jaworski;205042;gm.w Mściwojów;Legnicki;4029;1822;1782;45,2221;44,2293
10;łódzkie;1012;radomszczański;1012113;gm.m-w. Przedbórz;Piotrkowski;7052;3277;3119;46,4691;44,2286
28;warmińsko-mazurskie;2804;elbląski;2804042;gm.w Markusy;Elbląski;4021;1850;1778;46,0085;44,2179
30;wielkopolskie;3018;ostrzeszowski;3018073;gm.m-w. Ostrzeszów;Kaliski;23845;11095;10543;46,5297;44,2147
30;wielkopolskie;3015;nowotomyski;3015063;gm.m-w. Zbąszyń;Zielonogórski;13804;6412;6103;46,4503;44,2118
32;zachodniopomorskie;3207;kamieński;3207052;gm.w Świerzno;Szczeciński;4213;1936;1862;45,953;44,1965
16;opolskie;1609;opolski;1609123;gm.m-w. Tułowice;Opolski;5195;2352;2296;45,2743;44,1963
6;lubelskie;608;lubartowski;608011;Lubartów;Lubelski;21636;9930;9561;45,8957;44,1902
30;wielkopolskie;3020;pleszewski;3020013;gm.m-w. Chocz;Kaliski;4741;2161;2094;45,5811;44,1679
6;lubelskie;614;puławski;614043;gm.m-w. Kazimierz Dolny;Lubelski;6630;3046;2928;45,9427;44,1629
6;lubelskie;619;włodawski;619032;gm.w Hańsk;Chełmski;3680;1661;1625;45,1359;44,1576
16;opolskie;1610;prudnicki;1610043;gm.m-w. Prudnik;Opolski;26800;12145;11823;45,3172;44,1157
8;lubuskie;811;żarski;811032;gm.w Brody;Zielonogórski;3364;1533;1484;45,5707;44,1141
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002032;gm.w Drawsko;Pilski;5765;2667;2543;46,2619;44,111
2;dolnośląskie;220;trzebnicki;220023;gm.m-w. Prusice;Wrocławski;9352;4289;4125;45,8618;44,1082
2;dolnośląskie;203;głogowski;203042;gm.w Kotla;Legnicki;4456;2017;1965;45,2648;44,0978
2;dolnośląskie;202;dzierżoniowski;202062;gm.w Łagiewniki;Wrocławski;7437;3358;3277;45,1526;44,0635
26;świętokrzyskie;2613;włoszczowski;2613022;gm.w Krasocin;Kielecki;10610;4894;4673;46,1263;44,0434
30;wielkopolskie;3019;pilski;3019043;gm.m-w. Łobżenica;Pilski;9468;4341;4170;45,8492;44,0431
18;podkarpackie;1801;bieszczadzki;1801052;gm.w Lutowiska;Krośnieński;2037;928;897;45,5572;44,0353
30;wielkopolskie;3027;turecki;3027073;gm.m-w. Tuliszków;Koniński;10526;4879;4635;46,3519;44,0338
14;mazowieckie;1429;sokołowski;1429022;gm.w Bielany;Siedlecki;3558;1641;1566;46,1214;44,0135
14;mazowieckie;1438;żyrardowski;1438053;gm.m-w. Wiskitki;Skierniewicki;9853;4490;4336;45,5699;44,0069
2;dolnośląskie;208;kłodzki;208112;gm.w Nowa Ruda;Wałbrzyski;11440;5223;5034;45,6556;44,0035
10;łódzkie;1005;łowicki;1005052;gm.w Kiernozia;Płocki;3339;1536;1469;46,0018;43,9952
2;dolnośląskie;202;dzierżoniowski;202011;Bielawa;Wałbrzyski;29523;13446;12986;45,5442;43,986
8;lubuskie;802;krośnieński;802052;gm.w Gubin;Zielonogórski;7116;3238;3130;45,5031;43,9854
8;lubuskie;807;sulęciński;807012;gm.w Krzeszyce;Gorzowski;4711;2160;2072;45,8501;43,9822
8;lubuskie;808;świebodziński;808042;gm.w Szczaniec;Zielonogórski;3845;1738;1691;45,2016;43,9792
10;łódzkie;1009;pajęczański;1009022;gm.w Kiełczygłów;Sieradzki;3950;1783;1737;45,1392;43,9747
24;śląskie;2417;żywiecki;2417092;gm.w Milówka;Bielski;10040;4559;4415;45,4084;43,9741
2;dolnośląskie;206;karkonoski;206062;gm.w Jeżów Sudecki;Jeleniogórski;7548;3420;3319;45,31;43,9719
12;małopolskie;1207;limanowski;1207011;Limanowa;Nowosądecki;15067;6819;6624;45,2578;43,9636
10;łódzkie;1015;skierniewicki;1015062;gm.w Maków;Skierniewicki;6005;2735;2640;45,5454;43,9634
28;warmińsko-mazurskie;2803;działdowski;2803022;gm.w Działdowo;Ciechanowski;9831;4489;4321;45,6617;43,9528
14;mazowieckie;1403;garwoliński;1403082;gm.w Miastków Kościelny;Siedlecki;4835;2251;2125;46,5564;43,9504
22;pomorskie;2212;słupski;2212032;gm.w Dębnica Kaszubska;Słupski;9495;4296;4173;45,2449;43,9494
14;mazowieckie;1420;płoński;1420122;gm.w Załuski;Ciechanowski;5652;2580;2484;45,6476;43,949
30;wielkopolskie;3008;kępiński;3008062;gm.w Rychtal;Kaliski;3791;1728;1666;45,5816;43,9462
30;wielkopolskie;3012;krotoszyński;3012023;gm.m-w. Kobylin;Leszczyński;8049;3691;3537;45,8566;43,9433
14;mazowieckie;1416;ostrowski;1416032;gm.w Boguty-Pianki;Łomżyński;2558;1147;1124;44,8397;43,9406
2;dolnośląskie;208;kłodzki;208063;gm.m-w. Bystrzyca Kłodzka;Wałbrzyski;18607;8405;8176;45,1712;43,9405
10;łódzkie;1004;łęczycki;1004032;gm.w Góra Świętej Małgorzaty;Płocki;4336;1993;1905;45,964;43,9345
26;świętokrzyskie;2607;ostrowiecki;2607053;gm.m-w. Kunów;Kielecki;9731;4397;4275;45,1855;43,9318
26;świętokrzyskie;2601;buski;2601063;gm.m-w. Stopnica;Kielecki;7576;3514;3328;46,3833;43,9282
26;świętokrzyskie;2606;opatowski;2606053;gm.m-w. Ożarów;Tarnobrzeski;10559;4818;4638;45,6293;43,9246
28;warmińsko-mazurskie;2801;bartoszycki;2801043;gm.m-w. Bisztynek;Olsztyński;6198;2821;2722;45,5147;43,9174
8;lubuskie;811;żarski;811052;gm.w Lipinki Łużyckie;Zielonogórski;3345;1507;1469;45,0523;43,9163
16;opolskie;1609;opolski;1609022;gm.w Dąbrowa;Opolski;8252;3747;3623;45,4072;43,9045
32;zachodniopomorskie;3212;pyrzycki;3212022;gm.w Kozielice;Szczeciński;2481;1143;1089;46,0701;43,8936
24;śląskie;2417;żywiecki;2417032;gm.w Gilowice;Bielski;6327;2893;2777;45,7247;43,8913
2;dolnośląskie;216;polkowicki;216062;gm.w Radwanice;Legnicki;4904;2235;2151;45,575;43,8622
14;mazowieckie;1403;garwoliński;1403062;gm.w Łaskarzew;Siedlecki;5447;2514;2389;46,1538;43,859
2;dolnośląskie;205;jaworski;205032;gm.w Męcinka;Legnicki;5007;2280;2196;45,5362;43,8586
2;dolnośląskie;208;kłodzki;208072;gm.w Kłodzko;Wałbrzyski;16986;7682;7448;45,2255;43,8479
6;lubelskie;616;rycki;616062;gm.w Ułęż;Lubelski;3145;1439;1379;45,7552;43,8474
14;mazowieckie;1428;sochaczewski;1428072;gm.w Sochaczew;Skierniewicki;11148;5071;4888;45,488;43,8464
10;łódzkie;1017;wieluński;1017072;gm.w Pątnów;Sieradzki;6512;2942;2855;45,1781;43,8421
24;śląskie;2410;pszczyński;2410032;gm.w Miedźna;Katowicki;16660;7507;7304;45,06;43,8415
6;lubelskie;613;parczewski;613043;gm.m-w. Parczew;Bialskopodlaski;14329;6482;6282;45,2369;43,8412
30;wielkopolskie;3027;turecki;3027022;gm.w Brudzew;Koniński;5958;2699;2612;45,3004;43,8402
18;podkarpackie;1814;przeworski;1814011;Przeworsk;Przemyski;15105;6841;6621;45,2896;43,8332
8;lubuskie;812;wschowski;812033;gm.m-w. Wschowa;Leszczyński;20955;9530;9184;45,4784;43,8272
12;małopolskie;1205;gorlicki;1205011;Gorlice;Nowosądecki;26973;12129;11818;44,9672;43,8142
22;pomorskie;2215;wejherowski;2215042;gm.w Choczewo;Gdański;5446;2496;2386;45,8318;43,812
14;mazowieckie;1401;białobrzeski;1401022;gm.w Promna;Radomski;5540;2518;2427;45,4513;43,8087
6;lubelskie;613;parczewski;613072;gm.w Sosnowica;Chełmski;2568;1160;1125;45,1713;43,8084
20;podlaskie;2002;białostocki;2002013;gm.m-w. Choroszcz;Białostocki;15781;7130;6910;45,1809;43,7868
26;świętokrzyskie;2609;sandomierski;2609062;gm.w Obrazów;Tarnobrzeski;6381;2921;2794;45,7765;43,7862
24;śląskie;2410;pszczyński;2410042;gm.w Pawłowice;Katowicki;18156;8161;7949;44,9493;43,7817
4;kujawsko-pomorskie;416;tucholski;416022;gm.w Gostycyn;Bydgoski;5199;2343;2276;45,0664;43,7776
10;łódzkie;1012;radomszczański;1012032;gm.w Gidle;Częstochowski;5964;2696;2610;45,2046;43,7626
2;dolnośląskie;215;oławski;215042;gm.w Oława;Wrocławski;15218;6910;6658;45,4068;43,7508
2;dolnośląskie;221;wałbrzyski;221082;gm.w Walim;Wałbrzyski;5392;2438;2359;45,2151;43,75
14;mazowieckie;1412;miński;1412093;gm.m-w. Kałuszyn;Siedlecki;5749;2642;2515;45,9558;43,7467
28;warmińsko-mazurskie;2812;nowomiejski;2812042;gm.w Kurzętnik;Toruński;9135;4147;3996;45,3968;43,7438
28;warmińsko-mazurskie;2815;ostródzki;2815073;gm.m-w. Miłomłyn;Olsztyński;4886;2228;2137;45,5997;43,7372
10;łódzkie;1004;łęczycki;1004072;gm.w Świnice Warckie;Koniński;3880;1768;1697;45,567;43,7371
14;mazowieckie;1402;ciechanowski;1402022;gm.w Ciechanów;Ciechanowski;7159;3285;3131;45,8863;43,7352
10;łódzkie;1016;tomaszowski;1016072;gm.w Rokiciny;Piotrkowski;6153;2808;2691;45,6363;43,7348
30;wielkopolskie;3026;śremski;3026033;gm.m-w. Książ Wielkopolski;Poznański;8471;3787;3704;44,7055;43,7257
22;pomorskie;2209;malborski;2209042;gm.w Malbork;Elbląski;4858;2216;2124;45,6155;43,7217
30;wielkopolskie;3027;turecki;3027033;gm.m-w. Dobra;Koniński;6067;2726;2652;44,9316;43,7119
24;śląskie;2404;częstochowski;2404082;gm.w Kruszyna;Częstochowski;4802;2157;2099;44,9188;43,711
12;małopolskie;1211;nowotarski;1211062;gm.w Krościenko nad Dunajcem;Nowosądecki;6749;3026;2950;44,8363;43,7102
18;podkarpackie;1804;jarosławski;1804011;Jarosław;;37073;16855;16204;45,4644;43,7084
26;świętokrzyskie;2609;sandomierski;2609033;gm.m-w. Klimontów;Tarnobrzeski;7987;3629;3489;45,4363;43,6835
30;wielkopolskie;3029;wolsztyński;3029022;gm.w Siedlec;Zielonogórski;12767;5802;5577;45,4453;43,6829
26;świętokrzyskie;2601;buski;2601052;gm.w Solec-Zdrój;Kielecki;5033;2342;2198;46,5329;43,6718
14;mazowieckie;1435;wyszkowski;1435062;gm.w Zabrodzie;Ostrołęcki;6011;2731;2625;45,4334;43,6699
26;świętokrzyskie;2609;sandomierski;2609043;gm.m-w. Koprzywnica;Tarnobrzeski;6537;3003;2853;45,9385;43,6439
10;łódzkie;1020;zgierski;1020062;gm.w Ozorków;Łódzki;7051;3188;3077;45,2134;43,6392
6;lubelskie;609;lubelski;609013;gm.m-w. Bełżyce;Lubelski;13167;5921;5745;44,9685;43,6318
4;kujawsko-pomorskie;409;mogileński;409012;gm.w Dąbrowa;Bydgoski;4607;2141;2010;46,4728;43,6293
4;kujawsko-pomorskie;408;lipnowski;408022;gm.w Bobrowniki;Włocławski;3093;1402;1349;45,3282;43,6146
28;warmińsko-mazurskie;2817;szczycieński;2817072;gm.w Świętajno;Olsztyński;5723;2613;2496;45,6579;43,6135
14;mazowieckie;1402;ciechanowski;1402082;gm.w Regimin;Ciechanowski;4954;2260;2160;45,6197;43,6011
22;pomorskie;2203;człuchowski;2203072;gm.w Rzeczenica;Słupski;3633;1650;1584;45,417;43,6003
12;małopolskie;1207;limanowski;1207021;Mszana Dolna;Nowosądecki;7899;3529;3443;44,6765;43,5878
32;zachodniopomorskie;3214;stargardzki;3214042;gm.w Dolice;Szczeciński;7700;3502;3356;45,4805;43,5844
10;łódzkie;1014;sieradzki;1014052;gm.w Burzenin;Sieradzki;5498;2460;2396;44,7435;43,5795
24;śląskie;2404;częstochowski;2404092;gm.w Lelów;Częstochowski;4794;2141;2089;44,66;43,5753
4;kujawsko-pomorskie;416;tucholski;416042;gm.w Lubiewo;Bydgoski;6008;2699;2618;44,9234;43,5752
2;dolnośląskie;221;wałbrzyski;221053;gm.m-w. Głuszyca;Wałbrzyski;8505;3842;3705;45,1734;43,5626
4;kujawsko-pomorskie;416;tucholski;416032;gm.w Kęsowo;Bydgoski;4468;2015;1946;45,0985;43,5542
10;łódzkie;1010;piotrkowski;1010102;gm.w Wola Krzysztoporska;Piotrkowski;11981;5474;5217;45,689;43,5439
14;mazowieckie;1409;lipski;1409033;gm.m-w. Lipsko;Radomski;10881;4893;4738;44,9683;43,5438
28;warmińsko-mazurskie;2818;gołdapski;2818033;gm.m-w. Gołdap;Suwalski;20018;9067;8715;45,2942;43,5358
22;pomorskie;2206;kościerski;2206042;gm.w Kościerzyna;Gdański;16196;7327;7050;45,2396;43,5293
22;pomorskie;2208;lęborski;2208042;gm.w Nowa Wieś Lęborska;Słupski;13786;6221;6000;45,1255;43,5224
30;wielkopolskie;3029;wolsztyński;3029012;gm.w Przemęt;Leszczyński;14147;6389;6157;45,1615;43,5216
10;łódzkie;1010;piotrkowski;1010032;gm.w Gorzkowice;Piotrkowski;8462;3860;3682;45,6157;43,5122
32;zachodniopomorskie;3216;świdwiński;3216052;gm.w Sławoborze;Koszaliński;3977;1826;1730;45,914;43,5001
22;pomorskie;2216;sztumski;2216032;gm.w Stary Dzierzgoń;Elbląski;3895;1771;1694;45,4685;43,4917
10;łódzkie;1016;tomaszowski;1016092;gm.w Tomaszów Mazowiecki;Piotrkowski;11251;5078;4892;45,1338;43,4806
4;kujawsko-pomorskie;416;tucholski;416012;gm.w Cekcyn;Bydgoski;6901;3087;2999;44,7326;43,4575
14;mazowieckie;1412;miński;1412132;gm.w Siennica;Siedlecki;7520;3411;3268;45,359;43,4574
22;pomorskie;2215;wejherowski;2215102;gm.w Wejherowo;Gdański;27177;12216;11806;44,9498;43,4411
2;dolnośląskie;205;jaworski;205052;gm.w Paszowice;Legnicki;4037;1828;1753;45,2811;43,4233
14;mazowieckie;1426;siedlecki;1426022;gm.w Korczew;Siedlecki;2554;1138;1109;44,5576;43,4221
30;wielkopolskie;3004;gostyński;3004013;gm.m-w. Borek Wielkopolski;Leszczyński;7441;3304;3231;44,4026;43,4216
10;łódzkie;1012;radomszczański;1012102;gm.w Masłowice;Piotrkowski;4139;1929;1797;46,6055;43,4163
6;lubelskie;603;chełmski;603011;Rejowiec Fabryczny;Chełmski;4328;1980;1879;45,7486;43,415
22;pomorskie;2201;bytowski;2201072;gm.w Parchowo;Słupski;3842;1736;1668;45,1848;43,4149
28;warmińsko-mazurskie;2817;szczycieński;2817032;gm.w Jedwabno;Olsztyński;3611;1632;1567;45,1952;43,3952
6;lubelskie;601;bialski;601062;gm.w Kodeń;Bialskopodlaski;3432;1541;1489;44,9009;43,3858
8;lubuskie;807;sulęciński;807053;gm.m-w. Torzym;Zielonogórski;6734;3120;2921;46,332;43,3769
22;pomorskie;2206;kościerski;2206062;gm.w Lipusz;Gdański;3772;1729;1636;45,8378;43,3722
4;kujawsko-pomorskie;402;brodnicki;402022;gm.w Bobrowo;Toruński;6337;2833;2748;44,7057;43,3644
6;lubelskie;606;krasnostawski;606092;gm.w Rudnik;Zamojski;2973;1318;1289;44,3323;43,3569
6;lubelskie;612;opolski;612063;gm.m-w. Poniatowa;Lubelski;14008;6260;6073;44,6887;43,3538
12;małopolskie;1209;myślenicki;1209013;gm.m-w. Dobczyce;Krakowski;15346;6841;6653;44,5784;43,3533
28;warmińsko-mazurskie;2816;piski;2816023;gm.m-w. Orzysz;Suwalski;8830;3960;3828;44,8471;43,3522
10;łódzkie;1014;sieradzki;1014113;gm.m-w. Złoczew;Sieradzki;7131;3217;3091;45,1129;43,346
32;zachodniopomorskie;3215;szczecinecki;3215062;gm.w Szczecinek;Koszaliński;9221;4145;3996;44,9517;43,3359
22;pomorskie;2201;bytowski;2201092;gm.w Trzebielino;Słupski;3706;1660;1606;44,7922;43,3351
14;mazowieckie;1409;lipski;1409042;gm.w Rzeczniów;Radomski;4332;1948;1877;44,9677;43,3287
2;dolnośląskie;210;lubański;210053;gm.m-w. Olszyna;Jeleniogórski;6472;2884;2804;44,5612;43,3251
30;wielkopolskie;3020;pleszewski;3020022;gm.w Czermin;Kaliski;4935;2203;2138;44,6403;43,3232
12;małopolskie;1201;bocheński;1201082;gm.w Trzciana;Tarnowski;5646;2503;2446;44,3323;43,3227
16;opolskie;1609;opolski;1609103;gm.m-w. Prószków;Opolski;9079;4073;3933;44,8618;43,3197
2;dolnośląskie;210;lubański;210033;gm.m-w. Leśna;Jeleniogórski;9948;4415;4309;44,3808;43,3152
10;łódzkie;1015;skierniewicki;1015082;gm.w Skierniewice;Skierniewicki;7635;3394;3307;44,4532;43,3137
10;łódzkie;1015;skierniewicki;1015092;gm.w Słupia;Skierniewicki;2609;1155;1130;44,2698;43,3116
30;wielkopolskie;3019;pilski;3019093;gm.m-w. Wysoka;Pilski;6521;2907;2824;44,5791;43,3062
30;wielkopolskie;3007;kaliski;3007072;gm.w Mycielin;Kaliski;4862;2168;2105;44,5907;43,2949
