wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaczepionych;%_zaszczepionych_pe�n�_dawk�
2;dolnośląskie;206;karkonoski;206011;Karpacz;Jeleniogórski;4487;2549;2474;56,8086;55,1371
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8706;8432;56,928;55,1363
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6946;6755;56,6928;55,1339
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;5120;4985;56,6121;55,1194
16;opolskie;1661;Opole;1661011;Opole;;127839;72542;70452;56,7448;55,1099
24;śląskie;2401;będziński;2401011;Będzin;;56008;31979;30861;57,0972;55,1011
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1978;1910;57,0358;55,075
14;mazowieckie;1462;Płock;1462011;Płock;;118268;66837;65113;56,5132;55,0555
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9443;9220;56,2854;54,9562
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;97289;94072;56,8114;54,9329
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;7015;6803;56,632;54,9205
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;26124;25359;56,5479;54,892
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;13107;12737;56,4811;54,8867
24;śląskie;2477;Tychy;2477011;Tychy;;126871;71837;69628;56,6221;54,8809
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;38208;37025;56,5458;54,795
28;warmińsko-mazurskie;2803;działdowski;2803011;Działdowo;Ciechanowski;21145;11945;11582;56,4909;54,7742
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;21884;21113;56,7737;54,7735
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;99499;96902;56,1986;54,7317
4;kujawsko-pomorskie;412;rypiński;412011;Rypin;Włocławski;15999;8975;8752;56,0973;54,7034
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;9926;9646;56,2762;54,6887
24;śląskie;2402;bielski;2402022;gm.w Bestwina;Katowicki;11950;6721;6533;56,2427;54,6695
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;6994;6836;55,9296;54,6661
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;14773;14229;56,7494;54,6596
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;28122;27286;56,3026;54,6288
26;świętokrzyskie;2602;jędrzejowski;2602023;gm.m-w. Jędrzejów;Kielecki;27715;15582;15137;56,2223;54,6166
22;pomorskie;2203;człuchowski;2203011;Człuchów;Słupski;13479;7578;7360;56,2208;54,6035
12;małopolskie;1213;oświęcimski;1213072;gm.w Polanka Wielka;Bielski;4318;2424;2357;56,1371;54,5855
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;25826;25266;55,7544;54,5455
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;9270;8948;56,459;54,4978
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10537;10150;56,5623;54,4849
4;kujawsko-pomorskie;407;inowrocławski;407063;gm.m-w. Kruszwica;Bydgoski;19012;10661;10358;56,0751;54,4814
8;lubuskie;811;żarski;811011;Łęknica;Zielonogórski;2396;1332;1303;55,5927;54,3823
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4289;4145;56,2639;54,3749
24;śląskie;2461;Bielsko-Biała;2461011;Bielsko-Biała;;169756;95049;92248;55,9915;54,3415
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;36942;35993;55,7447;54,3127
