wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;&_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
30;wielkopolskie;3016;obornicki;3016013;gm.m-w. Oborniki;;34185;19496;19006;57,0309;55,5975
30;wielkopolskie;3011;kościański;3011023;gm.m-w. Czempiń;Poznański;11531;6563;6408;56,9161;55,5719
24;śląskie;2461;Bielsko-Biała;2461011;Bielsko-Biała;;169756;96753;94319;56,9953;55,5615
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;26184;25730;56,5273;55,5472
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;7074;6942;56,5694;55,5138
4;kujawsko-pomorskie;402;brodnicki;402011;Brodnica;Toruński;28701;16367;15929;57,0259;55,4998
2;dolnośląskie;223;wrocławski;223092;gm.w Żórawina;Wrocławski;11406;6461;6322;56,6456;55,427
32;zachodniopomorskie;3207;kamieński;3207043;gm.m-w. Międzyzdroje;Szczeciński;6398;3677;3545;57,4711;55,4079
30;wielkopolskie;3021;poznański;3021062;gm.w Kleszczewo;Poznański;9343;5462;5176;58,4609;55,3998
12;małopolskie;1206;krakowski;1206113;gm.m-w. Skawina;;43751;24855;24237;56,8101;55,3976
22;pomorskie;2209;malborski;2209011;Malbork;;38101;21749;21102;57,0825;55,3844
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;37601;36681;56,7391;55,3508
8;lubuskie;809;zielonogórski;809072;gm.w Świdnica;Zielonogórski;6685;3795;3700;56,7689;55,3478
22;pomorskie;2263;Słupsk;2263011;Słupsk;;89780;50980;49639;56,7832;55,2896
30;wielkopolskie;3004;gostyński;3004063;gm.m-w. Pogorzela;Leszczyński;4907;2754;2711;56,1239;55,2476
8;lubuskie;805;słubicki;805053;gm.m-w. Słubice;Gorzowski;20145;11468;11127;56,9273;55,2345
10;łódzkie;1008;pabianicki;1008011;Konstantynów Łódzki;Łódzki;18335;10429;10120;56,8803;55,195
14;mazowieckie;1418;piaseczyński;1418063;gm.m-w. Tarczyn;Warszawski;11594;6604;6399;56,9605;55,1923
28;warmińsko-mazurskie;2801;bartoszycki;2801011;Bartoszyce;Olsztyński;22984;13029;12675;56,6873;55,1471
12;małopolskie;1212;olkuski;1212053;gm.m-w. Olkusz;;48206;27240;26573;56,5075;55,1238
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;109613;106617;56,6724;55,1234
8;lubuskie;807;sulęciński;807043;gm.m-w. Sulęcin;Gorzowski;15633;8841;8616;56,5534;55,1142
28;warmińsko-mazurskie;2807;iławski;2807011;Iława;;33206;18702;18301;56,3211;55,1135
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;23334;22790;56,3759;55,0616
30;wielkopolskie;3062;Konin;3062011;Konin;;72539;41066;39941;56,6123;55,0614
32;zachodniopomorskie;3263;Świnoujście;3263011;Świnoujście;;40948;23282;22531;56,8575;55,0234
32;zachodniopomorskie;3202;choszczeński;3202012;gm.w Bierzwnik;Gorzowski;4666;2623;2567;56,2152;55,015
2;dolnośląskie;208;kłodzki;208051;Polanica-Zdrój;Wałbrzyski;6228;3522;3426;56,5511;55,0096
2;dolnośląskie;214;oleśnicki;214011;Oleśnica;;36979;20855;20336;56,3969;54,9934
32;zachodniopomorskie;3213;sławieński;3213011;Darłowo;Koszaliński;13574;7712;7460;56,8145;54,958
24;śląskie;2413;tarnogórski;2413031;Radzionków;Katowicki;16903;9476;9287;56,0611;54,9429
12;małopolskie;1206;krakowski;1206032;gm.w Iwanowice;Krakowski;9215;5163;5062;56,0282;54,9322
6;lubelskie;611;łukowski;611021;Stoczek Łukowski;Siedlecki;2480;1404;1362;56,6129;54,9194
30;wielkopolskie;3028;wągrowiecki;3028011;Wągrowiec;Pilski;25607;14567;14060;56,8868;54,9069
22;pomorskie;2215;wejherowski;2215021;Rumia;;49536;28181;27182;56,8899;54,8732
22;pomorskie;2204;gdański;2204042;gm.w Pruszcz Gdański;;32184;18154;17658;56,4069;54,8658
24;śląskie;2413;tarnogórski;2413062;gm.w Ożarowice;Katowicki;5806;3263;3185;56,2005;54,857
24;śląskie;2416;zawierciański;2416021;Zawiercie;;48703;27511;26700;56,4873;54,8221
2;dolnośląskie;215;oławski;215011;Oława;;33087;18702;18134;56,5237;54,807
30;wielkopolskie;3019;pilski;3019011;Piła;;72527;41164;39741;56,7568;54,7948
30;wielkopolskie;3027;turecki;3027011;Turek;Koniński;26441;14897;14484;56,3405;54,7786
10;łódzkie;1008;pabianicki;1008052;gm.w Ksawerów;Łódzki;7661;4322;4196;56,4156;54,7709
12;małopolskie;1206;krakowski;1206052;gm.w Kocmyrzów-Luborzyca;Krakowski;16020;9030;8771;56,367;54,7503
14;mazowieckie;1428;sochaczewski;1428082;gm.w Teresin;Skierniewicki;11542;6504;6319;56,3507;54,7479
30;wielkopolskie;3022;rawicki;3022053;gm.m-w. Rawicz;;30299;16965;16581;55,9919;54,7246
30;wielkopolskie;3030;wrzesiński;3030053;gm.m-w. Września;;47425;26595;25941;56,078;54,699
24;śląskie;2413;tarnogórski;2413041;Tarnowskie Góry;;61756;34516;33765;55,8909;54,6748
24;śląskie;2464;Częstochowa;2464011;Częstochowa;;217530;122040;118903;56,1026;54,6605
12;małopolskie;1212;olkuski;1212042;gm.w Klucze;Katowicki;14909;8375;8146;56,1741;54,6381
10;łódzkie;1008;pabianicki;1008021;Pabianice;;63945;35811;34912;56,0028;54,5969
24;śląskie;2471;Piekary Śląskie;2471011;Piekary Śląskie;;54702;30629;29858;55,9925;54,583
28;warmińsko-mazurskie;2809;lidzbarski;2809011;Lidzbark Warmiński;Olsztyński;15489;8700;8453;56,1689;54,5742
14;mazowieckie;1406;grójecki;1406053;gm.m-w. Grójec;Radomski;25882;14554;14120;56,2321;54,5553
14;mazowieckie;1402;ciechanowski;1402011;Ciechanów;;43883;24833;23929;56,5891;54,5291
30;wielkopolskie;3063;Leszno;3063011;Leszno;;62854;35069;34266;55,7944;54,5168
30;wielkopolskie;3023;słupecki;3023042;gm.w Ostrowite;Koniński;5054;2833;2754;56,0546;54,4915
14;mazowieckie;1419;płocki;1419122;gm.w Słupno;Płocki;8129;4553;4429;56,0093;54,4839
12;małopolskie;1213;oświęcimski;1213033;gm.m-w. Chełmek;Bielski;12837;7145;6994;55,6594;54,4831
24;śląskie;2405;gliwicki;2405011;Knurów;;37801;21039;20591;55,6573;54,4721
4;kujawsko-pomorskie;401;aleksandrowski;401062;gm.w Koneck;Włocławski;3103;1738;1690;56,0103;54,4634
14;mazowieckie;1428;sochaczewski;1428011;Sochaczew;;35891;20165;19545;56,184;54,4565
30;wielkopolskie;3006;jarociński;3006023;gm.m-w. Jarocin;;45801;25622;24935;55,942;54,442
14;mazowieckie;1417;otwocki;1417072;gm.w Sobienie-Jeziory;Siedlecki;6356;3538;3460;55,6639;54,4368
32;zachodniopomorskie;3209;koszaliński;3209053;gm.m-w. Mielno;Koszaliński;4881;2743;2657;56,1975;54,4356
2;dolnośląskie;220;trzebnicki;220013;gm.m-w. Oborniki Śląskie;Wrocławski;20287;11351;11042;55,9521;54,4289
4;kujawsko-pomorskie;404;chełmiński;404011;Chełmno;Toruński;19205;10758;10453;56,0167;54,4285
22;pomorskie;2214;tczewski;2214011;Tczew;;59430;33246;32342;55,9414;54,4203
2;dolnośląskie;219;świdnicki;219011;Świdnica;;56222;31369;30588;55,7949;54,4057
24;śląskie;2472;Ruda Śląska;2472011;Ruda Śląska;;136423;76258;74221;55,8982;54,405
14;mazowieckie;1408;legionowski;1408052;gm.w Wieliszew;Warszawski;16053;8980;8728;55,9397;54,3699
32;zachodniopomorskie;3202;choszczeński;3202023;gm.m-w. Choszczno;Gorzowski;21529;11939;11704;55,4554;54,3639
