teryt,powiat,%_glosy
2805,ełcki,8.930942895086321
2806,giżycki,6.859112451529513
2807,iławski,6.679540765038887
2808,kętrzyński,6.297452336763961
2809,lidzbarski,6.02372420610404
2810,mrągowski,6.480261552725321
2811,nidzicki,6.264670174018616
2812,nowomiejski,4.215443493921657
2813,olecki,6.527286196394765
2814,olsztyński,7.6144936371256575
2815,ostródzki,6.0946369152476025
2816,piski,6.378581493658995
2817,szczycieński,6.446523968305189
2818,gołdapski,5.099296648738106
2819,węgorzewski,5.685808132291313
2861,Elbląg,5.465395125759858
2862,Olsztyn,6.9934194548209145
3001,chodzieski,6.981114778144482
3002,czarnkowsko-trzcianecki,6.231784219172274
3003,gnieźnieński,6.407005543106499
3004,gostyński,9.955368212248947
3005,grodziski,7.3069263111307805
3006,jarociński,5.575753776719113
3007,kaliski,5.616408934707904
3008,kępiński,5.500604047115675
3009,kolski,5.768112878507637
3010,koniński,5.404101757896241
3011,kościański,6.299474121228895
3012,krotoszyński,6.402935171760807
3013,leszczyński,7.3648595483515615
3014,międzychodzki,5.931620726295393
3015,nowotomyski,6.644623346751007
3016,obornicki,6.505386505386506
3017,ostrowski,6.645262744070239
3018,ostrzeszowski,6.182504315709181
3019,pilski,6.663768675940237
3020,pleszewski,5.566081578665141
3021,poznański,6.642963893727809
3022,rawicki,6.319109173026008
3023,słupecki,5.933440934593805
3024,szamotulski,6.040612687384888
3025,średzki,14.198354458527906
3026,śremski,8.299492385786802
3027,turecki,5.481640563616363
3028,wągrowiecki,7.186932849364791
3029,wolsztyński,6.984563655815375
3030,wrzesiński,6.975264235515468
3031,złotowski,6.67092470371159
3061,Kalisz,6.4641072467840015
3062,Konin,5.4222977603552724
3063,Leszno,7.414412104115913
3064,Poznań,6.591771372259177
3201,białogardzki,5.053412298666076
3202,choszczeński,5.572790343504992
3203,drawski,6.006798461400841
3204,goleniowski,6.436191919780796
3205,gryficki,5.495694138203603
3206,gryfiński,6.46336193592197
3207,kamieński,5.108582219350991
3208,kołobrzeski,5.406373992064508
3209,koszaliński,7.082474959153229
3210,myśliborski,6.722459035626295
3211,policki,7.332554310299039
3212,pyrzycki,5.69263648727414
3213,sławieński,5.84732231476287
3214,stargardzki,7.048790392759761
3215,szczecinecki,6.79460074808912
3216,świdwiński,5.4499505548840785
3217,wałecki,6.200119942796512
3218,łobeski,5.31132783195799
3261,Koszalin,5.9553491558972995
3262,Szczecin,6.7944233103181
3263,Świnoujście,5.323327961321515
