data,teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
2021-08-07,1465,Warszawa,1794166,1190528,66.35551002527079
2021-08-07,1601,brzeski,89282,38040,42.606572433413234
2021-08-07,1602,głubczycki,45015,19534,43.39442408086194
2021-08-07,1603,kędzierzyńsko-kozielski,93001,40547,43.598455930581395
2021-08-07,1604,kluczborski,65026,28041,43.122750899640145
2021-08-07,1605,krapkowicki,63196,25968,41.091208304323054
2021-08-07,1606,namysłowski,42543,19053,44.785276073619634
2021-08-07,1607,nyski,134864,62831,46.58841499584767
2021-08-07,1608,oleski,63788,24086,37.75945318868752
2021-08-07,1609,opolski,123532,50406,40.80400220185863
2021-08-07,1610,prudnicki,54765,21641,39.51611430658267
2021-08-07,1611,strzelecki,73923,31101,42.07215616249341
2021-08-07,1661,Opole,127839,70201,54.91360226534938
2021-08-07,1801,bieszczadzki,21489,7370,34.29661687374936
2021-08-07,1802,brzozowski,65373,20672,31.62161748734187
2021-08-07,1803,dębicki,134991,45839,33.95707862005615
2021-08-07,1804,jarosławski,119727,41947,35.03553918497916
2021-08-07,1805,jasielski,112863,37763,33.45914958843908
2021-08-07,1806,kolbuszowski,62039,15687,25.285707377617307
2021-08-07,1807,krośnieński,111905,36571,32.680398552343505
2021-08-07,1808,leżajski,68996,21391,31.003246565018262
2021-08-07,1809,lubaczowski,54711,20839,38.08923251265742
2021-08-07,1810,łańcucki,81226,30044,36.988156501612785
2021-08-07,1811,mielecki,136441,50874,37.28644615621404
2021-08-07,1812,niżański,66221,19272,29.102550550429623
2021-08-07,1813,przemyski,73919,25065,33.90873794288343
2021-08-07,1814,przeworski,77979,26917,34.518267738750176
2021-08-07,1815,ropczycko-sędziszowski,74573,21322,28.59211779062127
2021-08-07,1816,rzeszowski,170550,59132,34.67135737320434
2021-08-07,1817,sanocki,93818,32742,34.89948623931441
2021-08-07,1818,stalowowolski,105431,36891,34.99065739678083
2021-08-07,1819,strzyżowski,61161,18833,30.79249848759831
2021-08-07,1820,tarnobrzeski,52720,17908,33.96813353566009
2021-08-07,1821,leski,26375,8991,34.08909952606635
2021-08-07,1861,Krosno,45944,19330,42.072958384119794
2021-08-07,1862,Przemyśl,59779,26893,44.987370146707036
2021-08-07,1863,Rzeszów,196638,92274,46.92582308607695
2021-08-07,1864,Tarnobrzeg,46360,22584,48.7144089732528
2021-08-07,2001,augustowski,57651,21463,37.22918943296734
2021-08-07,2002,białostocki,150845,59530,39.464350823693195
2021-08-07,2003,bielski,53695,19758,36.79672222739547
2021-08-07,2004,grajewski,46792,14249,30.451786630193194
2021-08-07,2005,hajnowski,41991,15674,37.32704627182015
2021-08-07,2006,kolneński,37887,11526,30.42204450075224
2021-08-07,2007,łomżyński,50819,15448,30.398079458470256
2021-08-07,2008,moniecki,40070,13007,32.46069378587472
2021-08-07,2009,sejneński,19689,7485,38.016151150388545
2021-08-07,2010,siemiatycki,43618,14904,34.16937961392086
2021-08-07,2011,sokólski,65883,26339,39.97844664025621
2021-08-07,2012,suwalski,35577,12155,34.1653315344183
2021-08-07,2013,wysokomazowiecki,56408,21376,37.895333995177985
2021-08-07,2014,zambrowski,43191,15747,36.45898451066195
2021-08-07,2061,Białystok,296958,139327,46.918082691828474
2021-08-07,2062,Łomża,62573,25684,41.046457737362765
2021-08-07,2063,Suwałki,69639,28652,41.143612056462615
