teryt,municipality,%_vaccinated
1213023,gm.m-w. Brzeszcze,53.6559
1004082,gm.w Witonia,53.577
3208022,gm.w Dygowo,53.5746
0203011,Głogów,53.5723
3206043,gm.m-w. Gryfino,53.5604
1401013,gm.m-w. Białobrzegi,53.5561
2470011,Mysłowice,53.5294
3214011,Stargard,53.4944
0462011,Grudziądz,53.4704
3214053,gm.m-w. Ińsko,53.4358
0413023,gm.m-w. Sępólno Krajeńskie,53.4103
3029033,gm.m-w. Wolsztyn,53.4063
2211011,Hel,53.3935
1005102,gm.w Zduny,53.385
1206022,gm.w Igołomia-Wawrzeńczyce,53.3773
2404072,gm.w Konopiska,53.3277
2803052,gm.w Płośnica,53.3213
1206063,gm.m-w. Krzeszowice,53.3111
2417011,Żywiec,53.2913
2416042,gm.w Kroczyce,53.2778
2416092,gm.w Włodowice,53.2577
3217011,Wałcz,53.2566
0808012,gm.w Lubrza,53.2482
0401092,gm.w Zakrzewo,53.2471
0415082,gm.w Wielka Nieszawka,53.2399
1403021,Łaskarzew,53.2335
1422011,Przasnysz,53.2278
0811021,Żary,53.2252
1437063,gm.m-w. Żuromin,53.2243
0220033,gm.m-w. Trzebnica,53.224
2861011,Elbląg,53.2231
3206023,gm.m-w. Cedynia,53.215
1208032,gm.w Kozłów,53.2148
1414022,gm.w Czosnów,53.2043
3005023,gm.m-w. Grodzisk Wielkopolski,53.1923
0207011,Kamienna Góra,53.1773
0809092,gm.w Zabór,53.164
0210011,Lubań,53.1535
1203013,gm.m-w. Alwernia,53.1385
3002083,gm.m-w. Wieleń,53.1222
0809033,gm.m-w. Czerwieńsk,53.1023
0415092,gm.w Zławieś Wielka,53.0971
3003042,gm.w Kiszkowo,53.0896
1215011,Jordanów,53.0474
2203023,gm.m-w. Czarne,53.045
0616011,Dęblin,53.0371
3001023,gm.m-w. Budzyń,53.0257
2416063,gm.m-w. Ogrodzieniec,53.0162
3003062,gm.w Łubowo,53.0149
3014033,gm.m-w. Międzychód,53.0122
2402102,gm.w Wilkowice,53.0115
0801011,Kostrzyn nad Odrą,53.0106
