teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
2208,lęborski,66083,32541,49.24261913048742
2209,malborski,63204,34016,53.81937852034682
2210,nowodworski,35438,17959,50.677239121846604
2211,pucki,87568,47178,53.875845057555274
2212,słupski,98832,47917,48.48328476606767
2213,starogardzki,128210,60067,46.85047968177209
2214,tczewski,115220,60644,52.6332233987155
2215,wejherowski,219457,109496,49.89405669447773
2216,sztumski,41104,21009,51.111813935383424
2261,Gdańsk,470805,307058,65.21978313739234
2262,Gdynia,244969,154301,62.98796990639632
2263,Słupsk,89780,50943,56.74203608821564
2264,Sopot,35286,22092,62.60839993198436
2401,będziński,147259,86289,58.596758092883974
2402,bielski,166348,89652,53.89424579796571
2403,cieszyński,177536,86096,48.49495313626532
2404,częstochowski,134106,67619,50.422054195934564
2405,gliwicki,115416,59072,51.18181188050184
2406,kłobucki,84330,41734,49.48891260524132
2407,lubliniecki,76109,34410,45.21147301895965
2408,mikołowski,99202,53825,54.257978669784876
2409,myszkowski,70486,35396,50.21706438157933
2410,pszczyński,111814,56681,50.692221009891426
2411,raciborski,107410,47983,44.67274927846569
2412,rybnicki,78166,38790,49.62515671775452
2413,tarnogórski,140780,75572,53.68092058531041
2414,bieruńsko-lędziński,59823,31611,52.84088059776341
2415,wodzisławski,156579,74193,47.383748778571835
2416,zawierciański,116672,63579,54.49379456939112
2417,żywiecki,152199,75569,49.651443176367785
2461,Bielsko-Biała,169756,96684,56.95468790499305
2462,Bytom,163255,83079,50.889099874429576
2463,Chorzów,106846,57749,54.048817924863826
2464,Częstochowa,217530,121923,56.04882085229623
2465,Dąbrowa Górnicza,118285,68571,57.97100224035169
2466,Gliwice,177049,100819,56.94412281345842
2467,Jastrzębie-Zdrój,88038,42925,48.75735477861832
2468,Jaworzno,90368,47983,53.09733533994334
2469,Katowice,290553,178116,61.30241298489432
2470,Mysłowice,74559,40862,54.80491959387868
2471,Piekary Śląskie,54702,30611,55.95956272165552
2472,Ruda Śląska,136423,76226,55.874742528752485
2473,Rybnik,137128,69483,50.67017676914999
2474,Siemianowice Śląskie,66270,37556,56.67119360193149
2475,Sosnowiec,197586,116749,59.08768839897564
2476,Świętochłowice,49108,24289,49.460373055306675
2477,Tychy,126871,73047,57.57580534558725
2478,Zabrze,170924,82517,48.277012005335706
2479,Żory,62844,31401,49.9665839220928
2601,buski,71125,35767,50.28752196836555
2602,jędrzejowski,84908,46116,54.312903377773594
2603,kazimierski,33340,15878,47.624475104979005
2604,kielecki,210992,94822,44.94104041859407
2605,konecki,79072,38521,48.7163597733711
2606,opatowski,51525,23526,45.65938864628821
2607,ostrowiecki,107711,52792,49.012635663952615
2608,pińczowski,38487,20491,53.24135422350405
2609,sandomierski,76346,38701,50.69158829539203
2610,skarżyski,73163,37447,51.18297500102511
2611,starachowicki,88549,42822,48.359665270076455
2612,staszowski,71250,34757,48.781754385964916
2613,włoszczowski,44743,22374,50.005587466195834
2661,Kielce,193415,109516,56.62228886073986
2801,bartoszycki,56562,29559,52.25946748700541
2802,braniewski,40776,20284,49.74494800863253
2803,działdowski,64768,33917,52.366909584980235
2804,elbląski,56986,28298,49.657810690344995
2805,ełcki,91395,36195,39.602822911537835
2806,giżycki,56227,28630,50.9185978266669
2807,iławski,92644,46405,50.089590259487935
2808,kętrzyński,61772,30241,48.95583759632196
2809,lidzbarski,40852,19847,48.58268873004994
2810,mrągowski,49439,22572,45.65626327393353
2811,nidzicki,32638,15225,46.64807892640481
2812,nowomiejski,43721,21231,48.56018846778436
2813,olecki,33993,14860,43.71488247580384
2814,olsztyński,127544,63400,49.708335946810514
2815,ostródzki,103492,50515,48.81053608008348
2816,piski,55833,23690,42.43010406032275
2817,szczycieński,69089,31809,46.04061428013143
2818,gołdapski,26489,12196,46.04175318056552
2819,węgorzewski,22444,11880,52.931741222598475
2861,Elbląg,118582,64700,54.561400549830495
2862,Olsztyn,171249,98698,57.63420516324182
3001,chodzieski,46824,26098,55.7363745087989
3002,czarnkowsko-trzcianecki,86590,45664,52.73588174154059
3003,gnieźnieński,145068,78518,54.12496208674553
3004,gostyński,75732,35759,47.21782073628057
3005,grodziski,51929,28155,54.21825954668875
3006,jarociński,71425,38559,53.985299264963245
3007,kaliski,82911,36657,44.212468791837026
3008,kępiński,56298,29226,51.91303421080677
3009,kolski,86108,40129,46.603103079853206
3010,koniński,129904,65374,50.324855277743566
3011,kościański,78866,44150,55.9810311160703
3012,krotoszyński,76998,37885,49.202576690303644
3013,leszczyński,57911,27802,48.00815043774067
3014,międzychodzki,36633,20330,55.49641034040346
3015,nowotomyski,75576,40670,53.81337990896581
3016,obornicki,59821,33130,55.38188930308754
3017,ostrowski,161357,80139,49.66564822102543
3018,ostrzeszowski,55265,25758,46.608160680358274
3019,pilski,135477,72516,53.52642884031976
3020,pleszewski,62763,32166,51.24994025142202
3021,poznański,406590,250984,61.72901448633758
3022,rawicki,60188,32194,53.48906758822357
3023,słupecki,58959,31778,53.898471819399916
3024,szamotulski,91745,55657,60.66488636982942
3025,średzki,59149,33519,56.668751796311014
3026,śremski,61492,31863,51.816496454823394
3027,turecki,83599,40481,48.42282802425866
3028,wągrowiecki,70096,36893,52.63210454234193
3029,wolsztyński,57431,29289,50.99858961188208
3030,wrzesiński,78037,43402,55.6172072222151
3031,złotowski,69161,32782,47.39954598690013
3061,Kalisz,99106,53165,53.64458256815935
3062,Konin,72539,41032,56.56543376666345
3063,Leszno,62854,35046,55.75778788939447
3064,Poznań,532048,365971,68.78533515773013
3201,białogardzki,47304,21728,45.932690681549126
3202,choszczeński,47970,25565,53.29372524494475
3203,drawski,56482,27649,48.951878474558264
3204,goleniowski,82310,42304,51.39594216984571
3205,gryficki,59844,31080,51.9350310808101
3206,gryfiński,81289,42694,52.521251337819386
3207,kamieński,46692,24886,53.298209543390726
3208,kołobrzeski,79300,44655,56.31147540983606
3209,koszaliński,66505,32385,48.695586797985115
3210,myśliborski,65373,30655,46.89244795251862
3211,policki,81584,44871,54.999754853892924
3212,pyrzycki,39202,19031,48.54599255140044
3213,sławieński,55777,27624,49.52579020026175
3214,stargardzki,120132,62447,51.98198648153698
3215,szczecinecki,77258,39232,50.78050169561729
3216,świdwiński,46394,23554,50.76949605552442
3217,wałecki,52707,27045,51.31196994706585
3218,łobeski,36486,17813,48.82146576769172
3261,Koszalin,106235,58920,55.46194756906857
3262,Szczecin,398255,234683,58.927822626206826
3263,Świnoujście,40948,23261,56.80619322067012
